account_name,poker,pkrdac
blablabla222,357.8511 POKER,357.8511 PKRDAC
blockdiamond,7.9860 POKER,7.9860 PKRDAC
bluecomputer,1.6381 POKER,1.6381 PKRDAC
blueportugal,398.3000 POKER,398.3000 PKRDAC
bmfuckyou123,5.0000 POKER,5.0000 PKRDAC
blockmonster,1.3582 POKER,1.3582 PKRDAC
bloodglucose,75.2178 POKER,75.2178 PKRDAC
bm2222211111,1448.8919 POKER,1448.8919 PKRDAC
blablabla555,109.0954 POKER,109.0954 PKRDAC
bnr212334141,2.2639 POKER,2.2639 PKRDAC
bogyeomeos11,1.0000 POKER,1.0000 PKRDAC
bmniubility1,21.7375 POKER,21.7375 PKRDAC
bogyeomeos33,1.0640 POKER,1.0640 PKRDAC
bobo23452345,6.2720 POKER,6.2720 PKRDAC
bobibobibobi,1.3389 POKER,1.3389 PKRDAC
bogyeomeos22,1.1120 POKER,1.1120 PKRDAC
bookoons1155,5.0000 POKER,5.0000 PKRDAC
boomgo.game,3.0085 POKER,3.0085 PKRDAC
bomboii12345,5.0001 POKER,5.0001 PKRDAC
bmidiotidiot,5.5391 POKER,5.5391 PKRDAC
bogyeomeos44,1.0640 POKER,1.0640 PKRDAC
bottlebottle,1.1120 POKER,1.1120 PKRDAC
borsaoborsao,1.8016 POKER,1.8016 PKRDAC
botttomlesss,8.8791 POKER,8.8791 PKRDAC
bqtx1234long,4.4115 POKER,4.4115 PKRDAC
boluomi12345,1.1822 POKER,1.1822 PKRDAC
bobo12341234,1.6294 POKER,1.6294 PKRDAC
boyosmaster1,10.1810 POKER,10.1810 PKRDAC
botbotbot111,1.4399 POKER,1.4399 PKRDAC
btc.game,1.1939 POKER,1.1939 PKRDAC
brignobrigno,20.3139 POKER,20.3139 PKRDAC
brotherscott,2.5554 POKER,2.5554 PKRDAC
browngoodluk,5.0001 POKER,5.0001 PKRDAC
brucewayne54,4356.4362 POKER,4356.4362 PKRDAC
bumbumbumbum,2.8274 POKER,2.8274 PKRDAC
butterflysun,1.3280 POKER,1.3280 PKRDAC
burberry1234,3.5703 POKER,3.5703 PKRDAC
bugsbunnyeos,3.9252 POKER,3.9252 PKRDAC
butterbeepan,5.0001 POKER,5.0001 PKRDAC
