account_name,eosdac,pkrdac
g44dqnrxguge,28719.2219 EOSDAC,57.7332 PKRDAC
g44dqnzygege,10027.9899 EOSDAC,20.1589 PKRDAC
g44dqnzygige,5001.9000 EOSDAC,10.0551 PKRDAC
g44dqnzygmge,89968.3785 EOSDAC,180.8600 PKRDAC
g44dsnrwgyge,244.3032 EOSDAC,0.4911 PKRDAC
g44tanigenes,652555.1347 EOSDAC,1311.8067 PKRDAC
g44taobyhege,1.0000 EOSDAC,0.0020 PKRDAC
g44tcojzhege,941630.8655 EOSDAC,1892.9246 PKRDAC
g44temrvg4ge,3930.2221 EOSDAC,7.9008 PKRDAC
g44teobxhage,3000.0000 EOSDAC,6.0308 PKRDAC
g44tgmbxgige,4.0839 EOSDAC,0.0082 PKRDAC
g44tgnrrhage,5009.3793 EOSDAC,10.0702 PKRDAC
g44timrrg4ge,728.7636 EOSDAC,1.4650 PKRDAC
g44tinbxhege,53145.8631 EOSDAC,106.8371 PKRDAC
g44tinrygyge,36570.7506 EOSDAC,73.5168 PKRDAC
g44tinzshege,1634.3381 EOSDAC,3.2854 PKRDAC
g44tombxhege,2.0000 EOSDAC,0.0040 PKRDAC
g44tomzqgege,10114.0388 EOSDAC,20.3319 PKRDAC
g44tonzqgage,2559.8593 EOSDAC,5.1460 PKRDAC
g44tqnjqgmge,37100.0000 EOSDAC,74.5807 PKRDAC
g44tqojthage,167569.0504 EOSDAC,336.8577 PKRDAC
g44tsmjzgege,1839.0800 EOSDAC,3.6970 PKRDAC
g44tsojrgene,552.9354 EOSDAC,1.1115 PKRDAC
g4ydamryguge,450.0368 EOSDAC,0.9047 PKRDAC
g4ydeobygene,2374.2230 EOSDAC,4.7728 PKRDAC
g4ydeojshage,400.0000 EOSDAC,0.8041 PKRDAC
g4ydkmjvgene,216062.8556 EOSDAC,434.3429 PKRDAC
g4ydknjugige,50.0000 EOSDAC,0.1005 PKRDAC
g4ydmojzgege,2500.0000 EOSDAC,5.0257 PKRDAC
g4ydomrvgage,2960.0000 EOSDAC,5.9504 PKRDAC
g4ydsobwgege,507.4687 EOSDAC,1.0201 PKRDAC
g4ytemrvgene,773.0481 EOSDAC,1.5540 PKRDAC
g4ytkmjug4ge,587862.3162 EOSDAC,1181.7572 PKRDAC
g4ytsobwgyge,1994.3323 EOSDAC,4.0091 PKRDAC
g4zdinzuhage,10.1758 EOSDAC,0.0205 PKRDAC
g4zdkobvgage,5000.0000 EOSDAC,10.0513 PKRDAC
g4zdonjxgige,10.7242 EOSDAC,0.0216 PKRDAC
g4ztemjugyge,189.6368 EOSDAC,0.3812 PKRDAC
g4ztimzzg4ge,15454.0000 EOSDAC,31.0666 PKRDAC
g4ztiojwhege,19400.5777 EOSDAC,39.0002 PKRDAC
g4ztknjwgene,1076.4204 EOSDAC,2.1639 PKRDAC
g4ztonzyhage,609480.1494 EOSDAC,1225.2147 PKRDAC
gaingaingain,3514.4109 EOSDAC,7.0649 PKRDAC
gamangnerida,178973.1652 EOSDAC,359.7829 PKRDAC
gameofthrons,100.0000 EOSDAC,0.2010 PKRDAC
ge2domjqgage,1026.5512 EOSDAC,2.0636 PKRDAC
ge2domztgene,5657.9240 EOSDAC,11.3739 PKRDAC
ge2dsmbqgene,10710.3504 EOSDAC,21.5306 PKRDAC
ge2taojrgene,105278.4520 EOSDAC,211.6373 PKRDAC
ge2temzrgene,805.8768 EOSDAC,1.6200 PKRDAC
ge2tkmjvgige,88329.3067 EOSDAC,177.5650 PKRDAC
ge2tknbqgene,15602.4789 EOSDAC,31.3651 PKRDAC
ge2tmmztg4ge,26695.7506 EOSDAC,53.6654 PKRDAC
ge2tmnbtgene,2047.3203 EOSDAC,4.1156 PKRDAC
ge2tsmrxgyge,171562.4745 EOSDAC,344.8855 PKRDAC
ge3denzzgege,35740.3010 EOSDAC,71.8474 PKRDAC
ge3dgnzxgene,4.5966 EOSDAC,0.0092 PKRDAC
ge3dimbwhege,52474.5552 EOSDAC,105.4876 PKRDAC
ge3dkojrhage,149.3379 EOSDAC,0.3002 PKRDAC
ge3dmmzthege,3672.4080 EOSDAC,7.3825 PKRDAC
ge3domjzgage,19039.6921 EOSDAC,38.2748 PKRDAC
ge3donruhage,23432.9525 EOSDAC,47.1064 PKRDAC
ge3dsmbwhege,2085.8297 EOSDAC,4.1931 PKRDAC
ge3dsmrrgyge,6566.7862 EOSDAC,13.2010 PKRDAC
ge3dsobxgige,10000.0781 EOSDAC,20.1028 PKRDAC
ge3dsojrgmge,100.0000 EOSDAC,0.2010 PKRDAC
ge3tenzrgmge,6325.6797 EOSDAC,12.7163 PKRDAC
ge3tgmjtgege,2000.0083 EOSDAC,4.0205 PKRDAC
ge3tgnjwhege,2518.4067 EOSDAC,5.0627 PKRDAC
ge3tinjwgage,87.6121 EOSDAC,0.1761 PKRDAC
ge3tonjuhege,101.9965 EOSDAC,0.2050 PKRDAC
ge3tsnjqgmge,116.2581 EOSDAC,0.2337 PKRDAC
ge3tsobugige,1001.8496 EOSDAC,2.0140 PKRDAC
ge4dcmbwhage,7685.8235 EOSDAC,15.4505 PKRDAC
ge4denzqgage,999.0000 EOSDAC,2.0083 PKRDAC
ge4denzrgage,52867.3907 EOSDAC,106.2773 PKRDAC
ge4dgmjugyge,128.4109 EOSDAC,0.2581 PKRDAC
ge4dgmrxgyge,6256.5000 EOSDAC,12.5772 PKRDAC
ge4dgnjygege,270.6154 EOSDAC,0.5440 PKRDAC
ge4dgobtgyge,13399.3996 EOSDAC,26.9363 PKRDAC
ge4dimbxgige,1096.8780 EOSDAC,2.2050 PKRDAC
ge4dimjqgige,2153.4904 EOSDAC,4.3291 PKRDAC
ge4dimrvgige,4298.6748 EOSDAC,8.6415 PKRDAC
ge4dinjxgege,140000.0423 EOSDAC,281.4367 PKRDAC
ge4dinzzgyge,1151.3735 EOSDAC,2.3146 PKRDAC
ge4dkmrxgege,4663.6014 EOSDAC,9.3751 PKRDAC
ge4dknjtgqge,6828.7538 EOSDAC,13.7276 PKRDAC
ge4dmmbwgage,44395.2679 EOSDAC,89.2461 PKRDAC
ge4dmmzvguge,9987.4576 EOSDAC,20.0774 PKRDAC
ge4dmnjygyge,212.9000 EOSDAC,0.4280 PKRDAC
ge4dmnzrgege,10000.8782 EOSDAC,20.1044 PKRDAC
ge4donrsgene,187.2394 EOSDAC,0.3764 PKRDAC
ge4dqmrygege,446.6860 EOSDAC,0.8980 PKRDAC
ge4dqmzugqge,35.0000 EOSDAC,0.0704 PKRDAC
ge4dqnbwgige,1253.0000 EOSDAC,2.5189 PKRDAC
ge4dqnrug4ge,39.6290 EOSDAC,0.0797 PKRDAC
ge4dqnrvhege,3318.2496 EOSDAC,6.6706 PKRDAC
ge4dqnrwgige,328.7150 EOSDAC,0.6608 PKRDAC
ge4dqojthege,543.8909 EOSDAC,1.0934 PKRDAC
ge4tanrwgege,454.4349 EOSDAC,0.9135 PKRDAC
ge4tcnrxgyge,6.9812 EOSDAC,0.0140 PKRDAC
ge4tenrsgege,3500.0000 EOSDAC,7.0359 PKRDAC
ge4tenzshege,291.0664 EOSDAC,0.5851 PKRDAC
ge4teobsgyge,2506.4004 EOSDAC,5.0385 PKRDAC
ge4tgmbshege,4209.7902 EOSDAC,8.4628 PKRDAC
ge4tgnrsgmge,13325.0545 EOSDAC,26.7868 PKRDAC
ge4timjthage,3083.9100 EOSDAC,6.1995 PKRDAC
ge4timrvgege,37900.4257 EOSDAC,76.1898 PKRDAC
ge4tiobsgige,376.6429 EOSDAC,0.7572 PKRDAC
ge4tmmjsgqge,260924.7816 EOSDAC,524.5271 PKRDAC
ge4tmmrzhage,1051.0366 EOSDAC,2.1129 PKRDAC
ge4tomzuhege,1097.2015 EOSDAC,2.2057 PKRDAC
ge4tonzxgege,3878.5165 EOSDAC,7.7968 PKRDAC
ge4tsnrxgmge,234.7763 EOSDAC,0.4720 PKRDAC
ge4tsojugage,835.0517 EOSDAC,1.6787 PKRDAC
ge4tsojugige,5525.9128 EOSDAC,11.1085 PKRDAC
geldspeicher,3463.3955 EOSDAC,6.9623 PKRDAC
genesis12345,9268.9032 EOSDAC,18.6329 PKRDAC
georgez23eos,3.3328 EOSDAC,0.0067 PKRDAC
geydambsgene,14534.6238 EOSDAC,29.2184 PKRDAC
geydanzqgene,4149.5034 EOSDAC,8.3416 PKRDAC
geydaobugene,499.7802 EOSDAC,1.0047 PKRDAC
geydenjsgmge,11158.9095 EOSDAC,22.4323 PKRDAC
geydenjtgene,2545.4066 EOSDAC,5.1169 PKRDAC
geydenrsgmge,108015.9631 EOSDAC,217.1404 PKRDAC
geydeobsgene,2842.0545 EOSDAC,5.7133 PKRDAC
geydeobvgmge,47.4300 EOSDAC,0.0953 PKRDAC
geydkojwhege,403.4125 EOSDAC,0.8110 PKRDAC
geydmnrtgage,6040.6070 EOSDAC,12.1432 PKRDAC
geydqojugmge,50000.0002 EOSDAC,100.5131 PKRDAC
geydsobqgene,679.4424 EOSDAC,1.3659 PKRDAC
geytamjqhege,30846.5668 EOSDAC,62.0097 PKRDAC
geytenzshage,116.6919 EOSDAC,0.2346 PKRDAC
geytenzwgene,12121.0570 EOSDAC,24.3665 PKRDAC
geyteojvhege,1695.1952 EOSDAC,3.4078 PKRDAC
geytgobrgyge,1442.4476 EOSDAC,2.8997 PKRDAC
geytimzwg4ge,16430.1624 EOSDAC,33.0289 PKRDAC
geytinzygige,1274.6958 EOSDAC,2.5625 PKRDAC
geytkmbvgene,612310.2727 EOSDAC,1230.9040 PKRDAC
geytkmrvgene,2954.8784 EOSDAC,5.9401 PKRDAC
geytknjsgqge,189.2710 EOSDAC,0.3805 PKRDAC
geytknrygene,2997.3000 EOSDAC,6.0254 PKRDAC
geytmmrvgene,15000.9290 EOSDAC,30.1558 PKRDAC
geytmnbqgage,312.8120 EOSDAC,0.6288 PKRDAC
geytmnjvguge,3808.2389 EOSDAC,7.6556 PKRDAC
geytombygmge,59613.3672 EOSDAC,119.8385 PKRDAC
geytqobsgqge,244.1621 EOSDAC,0.4908 PKRDAC
geytsmbygmge,10013.9950 EOSDAC,20.1308 PKRDAC
geytsnbrgene,63616.7802 EOSDAC,127.8864 PKRDAC
gezdanbvgene,1728.1521 EOSDAC,3.4740 PKRDAC
gezdaojtgage,1614.1471 EOSDAC,3.2449 PKRDAC
gezdemzqgege,3096.7258 EOSDAC,6.2252 PKRDAC
gezdemzxgage,2076.1749 EOSDAC,4.1737 PKRDAC
gezdimrzgege,94.3908 EOSDAC,0.1898 PKRDAC
gezdkmzvgene,11487.8215 EOSDAC,23.0935 PKRDAC
